nn_serotype,auc,threshold,sensitivity,specificity,k
6C,0.9460246913043864,0.1490333106547419,0.9770114942528736,0.909696167144854,10
14,0.9543242773463382,0.04870922110005682,0.8681481481481481,0.9139070320819445,10
23F,0.9525234148601404,0.061899534284102276,0.8777777777777778,0.9418089867026156,10
12F,0.985939331613674,0.049328078707425393,0.9610619469026549,0.9638921386554966,10
9V,0.8942872608203661,0.10106322191733647,0.7763713080168776,0.9172552832508793,10
3,0.9991745972528197,0.09324769227388358,1,0.9847242449186349,10
6B,0.8583354157341889,0.00517751634315971,0.9317851959361393,0.8070745293129226,10
45,0.8391414141414195,0.3376207165999488,1,0.6287878787878788,10
18C,0.8946820118285292,0.024580006311313067,0.82,0.8248441506994976,10
35B,0.9111051635226349,0.13478441034527272,0.7647058823529411,0.9428161107121875,10
18A,0.9594987763980948,0.2634345855600775,0.9830508474576272,0.9042780748663102,10
6A,0.8710128919545501,0.00495046423017797,0.9365853658536586,0.6926549129089034,10
35C,0.9089307598039237,0.18531151926709805,1,0.8943014705882353,10
19F,0.9386484169462248,0.052916689665258254,0.9747807017543859,0.8972393062304636,10
38,0.8347028217066736,9.489163826886804e-5,1,0.5669394703915657,10
19A,0.9795480950901875,0.1349791203428541,0.916955017301038,0.9557130136017764,10
46,0.6220821031344734,0.2125099997918658,0.6416,0.6971688574317493,10
10A,0.979658594065714,0.097035695354309,0.9807692307692307,0.9178414135875621,10
13,0.967247596459151,0.1621863906664569,0.9186046511627907,0.935226031884691,10
22F,0.9859380917955706,0.0136592679683935,0.9875,0.9446092247455743,10
21,0.906504289786219,0.04786352606769739,0.994475138121547,0.752691947565543,10
10B,0.8961209132068386,0.09904931316922727,0.9832402234636871,0.7570348429339777,10
15B/C,0.7045639358087815,0.030665710778991325,0.5443037974683544,0.7998718770019219,10
4,0.9106860391589702,0.02536704683081725,0.9809688581314879,0.761603106895015,10
35A,0.9542432434091634,0.10737135928989605,0.9836065573770492,0.9330919985020597,10
23B,0.9533067837956464,0.05478179701540864,0.9967497291440953,0.9141158679668353,10
28F,0.6999241970387889,0.2592112026322487,0.6179775280898876,0.7780195865070729,10
34,0.9439867651568272,0.1363846169176549,0.9962962962962963,0.9113914239764382,10
24,0.6886427954766338,7.788692354110394e-5,0.9885057471264368,0.5823509599191647,10
16F,0.9364853593759216,0.06279318553432905,0.9842271293375394,0.8141262794425946,10
25F,0.6607295472843243,0.006521141586262375,0.995850622406639,0.48656716417910445,10
15A,0.9501222451656145,0.10742367856735008,0.9081632653061225,0.9150501230679279,10
31,0.9769160315180951,0.22946620861152783,0.9545454545454546,0.9411705143782908,10
15C,0.8436382170326997,0.004421896848223635,0.9090909090909091,0.6192660550458715,10
17F,0.9666203826903478,0.1310359933408083,0.985545335085414,0.9325813221406086,10
24F,0.9740276102779849,0.03726863466603275,0.9787234042553191,0.9688405047579645,10
37,0.6915146023413794,0.00476309632687116,1,0.5070866141732283,10
19B,0.9165631787963259,0.19989051906347627,0.9714285714285714,0.8393487943480265,10
7F,0.9858318579545984,0.06549582488618083,0.9849624060150376,0.9309306235835952,10
29,0.9451968898921506,0.20358745473456974,0.9111111111111111,0.8896162528216705,10
11C,0.7251552795031057,0.27576820184105566,0.9285714285714286,0.6086956521739131,10
48,0.52952380952381,0.3073035972858133,1,0.23809523809523808,10
33F,0.9547533642082585,0.0048272240193475945,1,0.8078434113946172,10
35F,0.9772072923218561,0.0744056238120187,1,0.9236307797304214,10
11E,0.8549135640592156,0.025156418162017913,0.6484018264840182,0.9641057934508817,10
