Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
1,85,434,1,3077,86,0.9883720930232558,0.8763884933067502,0.16377649325626203,0.8790658882402002,0.2809917355371901,0.7625329815303431,1000
10A,55,592,11,2953,66,0.8333333333333334,0.8330042313117066,0.08500772797527048,0.8330102464691221,0.15427769985974757,0.5490311215502056,1000
10B,3,499,4,3203,7,0.42857142857142855,0.8652079956780119,0.00597609561752988,0.8643839309787005,0.011787819253438114,0.08306188925081433,1000
10C,0,402,0,3337,0,0,0.8924846215565659,0,0.8924846215565659,0,0,1000
10F,0,443,1,3268,1,0,0.8806251684182161,0,0.8803879310344828,0,0,1000
10X,0,366,0,3326,0,0,0.9008667388949079,0,0.9008667388949079,0,0,1000
11,2,486,0,3192,2,1,0.867862969004894,0.004098360655737705,0.8679347826086956,0.00816326530612245,0.06538461538461539,1000
11A,5,519,0,3165,5,1,0.8591205211726385,0.009541984732824428,0.8593114665220927,0.01890359168241966,0.14072847682119205,1000
11B,0,571,1,3059,1,0,0.8426997245179063,0,0.8424676397686588,0,0,1000
11C,0,332,0,3386,0,0,0.9107046799354491,0,0.9107046799354491,0,0,1000
11D,0,331,0,3462,0,0,0.9127339836540996,0,0.9127339836540996,0,0,1000
11E,1,653,0,2859,1,1,0.8140660592255126,0.0015290519877675841,0.8141189866211216,0.0030534351145038168,0.02537313432835821,1000
12A,0,445,0,3247,0,0,0.8794691224268689,0,0.8794691224268689,0,0,1000
12B,0,412,3,3392,3,0,0.8916929547844374,0,0.890990281061203,0,0,1000
12F,25,335,2,3151,27,0.9259259259259259,0.9039013195639701,0.06944444444444445,0.9040705949331056,0.12919896640826872,0.5366161616161615,1000
13,4,453,0,3382,4,1,0.881877444589309,0.0087527352297593,0.8820005209690024,0.017353579175704986,0.13051823416506717,1000
14,98,412,8,2910,106,0.9245283018867925,0.8759783263094522,0.19215686274509805,0.8774795799299884,0.31818181818181823,0.7552130553037172,1000
15A,24,513,2,3076,26,0.9230769230769231,0.8570632488158262,0.0446927374301676,0.8575380359612724,0.08525754884547071,0.42812172088142714,1000
15B,8,300,0,3315,8,1,0.91701244813278,0.025974025974025976,0.9171956941760971,0.05063291139240507,0.3119266055045872,1000
15B-C,0,507,0,3119,0,0,0.8601765030336459,0,0.8601765030336459,0,0,1000
15C,8,405,0,3222,8,1,0.8883374689826302,0.01937046004842615,0.8885832187070152,0.03800475059382423,0.25138632162661734,1000
15F,0,473,2,3173,2,0,0.8702687877125617,0,0.8697916666666666,0,0,1000
16F,24,611,2,3025,26,0.9230769230769231,0.831958195819582,0.03779527559055118,0.832605133806663,0.07261724659606657,0.3882017126546147,1000
17A,0,360,0,3449,0,0,0.9054870044631137,0,0.9054870044631137,0,0,1000
17F,5,360,1,3166,6,0.8333333333333334,0.8979013045944413,0.0136986301369863,0.8977916194790487,0.026954177897574122,0.18438177874186548,1000
18A,2,653,1,2964,3,0.6666666666666666,0.8194636439037877,0.0030534351145038168,0.8193370165745857,0.0060790273556231,0.04836415362731152,1000
18B,0,567,0,3107,0,0,0.8456722917800762,0,0.8456722917800762,0,0,1000
18C,2,367,0,3242,2,1,0.8983097811027986,0.005420054200542005,0.8983661035724176,0.010781671159029648,0.08478802992518703,1000
18F,0,460,0,3164,0,0,0.8730684326710817,0,0.8730684326710817,0,0,1000
19A,197,298,29,3082,226,0.8716814159292036,0.9118343195266272,0.397979797979798,0.9093178036605657,0.5464632454923717,0.8146436390172708,1000
19B,3,375,1,3122,4,0.75,0.892765227337718,0.007936507936507936,0.8926021136818052,0.015706806282722512,0.11538461538461539,1000
19F,59,644,7,2645,66,0.8939393939393939,0.8041958041958042,0.08392603129445235,0.8059612518628912,0.15344603381014305,0.5702103467879477,1000
