Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
1,234,683,0,4404,234,1,0.8657361902889719,0.25517993456924754,0.8716406690471716,0.40660295395308427,0.8534649216906244,1
10A,133,673,0,4474,133,1,0.8692442199339421,0.16501240694789082,0.8725378787878788,0.2832800851970181,0.7706203135650989,1
10B,15,660,1,4554,16,0.9375,0.8734177215189873,0.022222222222222223,0.8736137667304015,0.043415340086830685,0.2738990332975295,1
10C,0,604,0,4690,0,0,0.8859085757461277,0,0.8859085757461277,0,0,1
10F,6,698,0,4603,6,1,0.8683267308055084,0.008522727272727272,0.8684755982664405,0.016901408450704224,0.1275,1
10X,0,676,0,4531,0,0,0.8701747647397734,0,0.8701747647397734,0,0,1
11,1,656,5,4654,6,0.16666666666666666,0.8764595103578154,0.0015220700152207,0.8756583897667419,0.0030165912518853697,0.02257636122177955,1
11A,57,703,31,4470,88,0.6477272727272727,0.8641020684322444,0.075,0.8604827979471583,0.13443396226415094,0.44695571955719554,1
11B,4,637,0,4695,4,1,0.8805326331582896,0.0062402496099844,0.8806221889055472,0.012403100775193798,0.09645390070921986,1
11C,1,628,0,4644,1,1,0.8808801213960546,0.001589825119236884,0.8809027119286933,0.003174603174603175,0.02635658914728682,1
11D,0,590,0,4639,0,0,0.8871677184930197,0,0.8871677184930197,0,0,1
11E,2,643,1,4453,3,0.6666666666666666,0.8738226059654631,0.0031007751937984496,0.8737007256324769,0.006172839506172839,0.04906204906204906,1
12A,0,604,0,4584,0,0,0.8835774865073246,0,0.8835774865073246,0,0,1
12B,5,610,2,4693,7,0.7142857142857143,0.8849707712615501,0.008130081300813009,0.8847457627118644,0.016077170418006433,0.11691884456671253,1
12F,282,670,6,4312,288,0.9791666666666666,0.8655158570855078,0.296218487394958,0.8717267552182163,0.45483870967741935,0.862230215827338,1
13,60,598,0,4648,60,1,0.8860083873427373,0.0911854103343465,0.8872973991707501,0.16713091922005568,0.630407911001236,1
14,332,600,3,4282,335,0.991044776119403,0.8770995493650143,0.3562231759656652,0.8844163312248419,0.5240726124704025,0.8970120788302606,1
15A,130,640,1,4420,131,0.9923664122137404,0.8735177865612648,0.16883116883116883,0.8765170487382007,0.2885682574916759,0.771109560362875,1
15B,10,567,24,4585,34,0.29411764705882354,0.8899456521739131,0.01733102253032929,0.8860393366756653,0.03273322422258592,0.15165031222123104,1
15B-C,0,707,0,4539,0,0,0.8652306519252764,0,0.8652306519252764,0,0,1
15C,7,638,11,4575,18,0.3888888888888889,0.8776136581622865,0.010852713178294573,0.8759319441789333,0.021116138763197588,0.12754555198285103,1
15F,2,650,1,4572,3,0.6666666666666666,0.875526618153964,0.003067484662576687,0.8754066985645933,0.0061068702290076335,0.048571428571428564,1
16F,104,586,1,4552,105,0.9904761904761905,0.8859478396263137,0.15072463768115943,0.8880411977875262,0.26163522012578616,0.7459915611814346,1
17A,0,689,0,4663,0,0,0.8712630792227205,0,0.8712630792227205,0,0,1
17F,85,616,0,4411,85,1,0.8774617067833698,0.12125534950071326,0.8794992175273866,0.21628498727735365,0.7011159631246968,1
18A,15,613,0,4520,15,1,0.8805766608221313,0.02388535031847134,0.8809246309246309,0.04665629860031105,0.293778801843318,1
18B,0,575,1,4621,1,0,0.8893379522709777,0,0.8891668270155859,0,0,1
18C,55,597,1,4444,56,0.9821428571428571,0.8815711168418965,0.0843558282208589,0.8826760839709633,0.15536723163841806,0.6040051679586563,1
18F,3,634,0,4672,3,1,0.8805126272144742,0.004709576138147566,0.8805801469203239,0.009375,0.07445255474452554,1
19A,288,604,0,4359,288,1,0.8782994156760024,0.32286995515695066,0.8849742906113122,0.48813559322033895,0.8901818181818182,1
19B,8,660,0,4510,8,1,0.8723404255319149,0.011976047904191617,0.8725376593279258,0.023668639053254437,0.17085427135678394,1
19F,263,581,4,4426,267,0.9850187265917603,0.883962452566407,0.31161137440758296,0.8890784982935154,0.4734473447344735,0.8739249413604379,1
2,12,651,0,4662,12,1,0.8774703557312253,0.01809954751131222,0.8777464788732394,0.03555555555555556,0.23859649122807017,1
20,2,682,3,4619,5,0.4,0.8713450292397661,0.0029239766081871343,0.8709008669430833,0.005805515239477504,0.04450261780104712,1
20A,7,631,6,4564,13,0.5384615384615384,0.8785370548604428,0.0109717868338558,0.8776881720430108,0.021505376344086023,0.14066193853427897,1
20B,26,609,12,4655,38,0.6842105263157895,0.8843085106382979,0.04094488188976378,0.8828743870237646,0.07726597325408618,0.3555913113435238,1
20C,0,702,0,4508,0,0,0.8652591170825336,0,0.8652591170825336,0,0,1
21,47,666,0,4604,47,1,0.8736242884250475,0.06591865357643759,0.8747413955237916,0.12368421052631579,0.5453924914675767,1
22A,4,636,0,4586,4,1,0.8782075833014171,0.00625,0.878300803673938,0.012422360248447204,0.09659090909090909,1
22F,237,701,6,4302,243,0.9753086419753086,0.859884069558265,0.2526652452025586,0.8652306519252764,0.40135478408128705,0.8348528802320762,1
23A,60,601,2,4535,62,0.967741935483871,0.8829828660436138,0.0907715582450832,0.8839938437860716,0.16597510373443985,0.6170598911070782,1
23B,93,556,0,4470,93,1,0.889375248706725,0.14329738058551617,0.8913850361398711,0.25067385444743934,0.7398221806270472,1
23F,139,643,1,4464,140,0.9928571428571429,0.874094380262385,0.17774936061381075,0.877263198017915,0.30151843817787416,0.7819324950363997,1
24,0,616,0,4684,0,0,0.8837735849056604,0,0.8837735849056604,0,0,1
24A,2,644,1,4508,3,0.6666666666666666,0.875,0.0030959752321981426,0.8748787584869059,0.006163328197226502,0.04899135446685879,1
24F,15,625,46,4554,61,0.2459016393442623,0.879320332110446,0.0234375,0.8719465648854962,0.042796005706134094,0.15779702970297027,1
25A,1,740,0,4641,1,1,0.8624790931053707,0.001349527665317139,0.8625046451133408,0.0026954177897574125,0.02245706737120211,1
25F,8,607,2,4637,10,0.8,0.8842486651411137,0.013008130081300813,0.8840883136657784,0.025599999999999998,0.1754838709677419,1
27,6,686,0,4593,6,1,0.8700511460503884,0.008670520231213872,0.8701986754966887,0.017191977077363897,0.12944162436548223,1
28A,6,603,0,4637,6,1,0.8849236641221374,0.009852216748768473,0.885055280213496,0.01951219512195122,0.14468085106382977,1
28F,7,630,0,4541,7,1,0.8781666988976987,0.01098901098901099,0.8783314020857474,0.02173913043478261,0.1588785046728972,1
29,7,614,0,4711,7,1,0.8846948356807511,0.011272141706924315,0.8848462115528882,0.022292993630573247,0.16234652114597545,1
3,253,655,0,4337,253,1,0.8687900641025641,0.2786343612334802,0.8751191611058151,0.4358311800172265,0.8678369652945923,1
31,30,639,1,4562,31,0.967741935483871,0.8771390117285137,0.04484304932735426,0.8776758409785933,0.08571428571428572,0.43776824034334766,1
32,0,575,0,4520,0,0,0.887144259077527,0,0.887144259077527,0,0,1
32F,0,635,0,4621,0,0,0.879185692541857,0,0.879185692541857,0,0,1
33,0,599,0,4586,0,0,0.8844744455159113,0,0.8844744455159113,0,0,1
33A,0,630,0,4569,0,0,0.8788228505481823,0,0.8788228505481823,0,0,1
33A-33F,0,658,0,4609,0,0,0.8750711980254414,0,0.8750711980254414,0,0,1
33B,7,665,0,4590,7,1,0.873453853472883,0.010416666666666666,0.8736221968833143,0.020618556701030924,0.15178571428571427,1
33C,0,673,0,4589,0,0,0.8721018624097301,0,0.8721018624097301,0,0,1
33D,13,681,0,4527,13,1,0.8692396313364056,0.018731988472622477,0.8695652173913043,0.036775106082036775,0.2450110864745011,1
33E,0,627,0,4641,0,0,0.8809794988610479,0,0.8809794988610479,0,0,1
33F,87,612,8,4558,95,0.9157894736842105,0.8816247582205029,0.12446351931330472,0.8822412155745489,0.21914357682619648,0.6665164488508337,1
33G,0,684,0,4568,0,0,0.8697638994668697,0,0.8697638994668697,0,0,1
34,60,678,0,4528,60,1,0.869765655013446,0.08130081300813008,0.8712495252563616,0.15037593984962405,0.6007067137809188,1
35A,12,621,0,4542,12,1,0.8797210923881464,0.018957345971563982,0.88,0.0372093023255814,0.24727272727272726,1
35B,73,667,26,4579,99,0.7373737373737373,0.872855508959207,0.09864864864864865,0.8703461178671655,0.17401668653158522,0.5339931153184165,1
35B-35D,0,735,0,4510,0,0,0.8598665395614872,0,0.8598665395614872,0,0,1
35C,0,591,0,4678,0,0,0.887834503700892,0,0.887834503700892,0,0,1
35D,3,693,2,4609,5,0.6,0.8692946058091287,0.004310344827586207,0.8690408893913699,0.008559201141226819,0.06572164948453608,1
35F,35,640,0,4621,35,1,0.8783501235506558,0.05185185185185185,0.879154078549849,0.09859154929577466,0.4817813765182186,1
36,2,710,0,4560,2,1,0.8652751423149905,0.0028089887640449437,0.8653262518968133,0.005602240896358543,0.04569892473118279,1
37,3,638,0,4667,3,1,0.8797360980207352,0.0046801872074883,0.8798040693293142,0.009316770186335406,0.07402031930333818,1
38,39,674,22,4505,61,0.639344262295082,0.869859046147905,0.0546984572230014,0.867175572519084,0.10077519379844961,0.39253996447602135,1
39,3,652,0,4548,3,1,0.8746153846153846,0.004580152671755725,0.8746876801845089,0.009118541033434652,0.07254623044096728,1
39X,0,640,0,4567,0,0,0.8770885346648742,0,0.8770885346648742,0,0,1
4,106,600,0,4676,106,1,0.8862774829416225,0.1501416430594901,0.8885172798216276,0.26108374384236455,0.7502081598667777,1
40,4,629,0,4549,4,1,0.8785245268443415,0.00631911532385466,0.8786182940949441,0.012558869701726845,0.09756097560975609,1
41F,0,617,0,4669,0,0,0.8832765796443436,0,0.8832765796443436,0,0,1
42,0,618,0,4536,0,0,0.880093131548312,0,0.880093131548312,0,0,1
45,4,640,0,4429,4,1,0.8737423554941803,0.006211180124223602,0.8738419081411394,0.01234567901234568,0.09604519774011298,1
46,7,671,1,4603,8,0.875,0.872772089495639,0.01032448377581121,0.8727754638394547,0.02040816326530612,0.1476426799007444,1
48,2,725,0,4650,2,1,0.8651162790697674,0.002751031636863824,0.8651664496931374,0.005486968449931413,0.04479578392621871,1
5,121,719,0,4395,121,1,0.8594055533828705,0.14404761904761904,0.8626552053486151,0.2518210197710718,0.7409942363112392,1
6A,150,639,11,4564,161,0.9316770186335404,0.8771862387084375,0.19011406844106463,0.8788217747949292,0.3157894736842105,0.7578008915304607,1
6B,100,605,103,4470,203,0.49261083743842365,0.8807881773399014,0.14184397163120568,0.8658582796513831,0.22026431718061676,0.43005312420946123,1
6C,79,616,0,4541,79,1,0.8805507077758387,0.11366906474820145,0.8823529411764706,0.2041343669250646,0.6855538540071466,1
6D,2,614,1,4591,3,0.6666666666666666,0.8820365033621518,0.003246753246753247,0.8819124423963134,0.006462035541195477,0.05120481927710844,1
6E,0,661,2,4595,2,0,0.8742389649923896,0,0.8739064282997338,0,0,1
7B,1,652,4,4540,5,0.2,0.8744221879815101,0.0015313935681470138,0.8737733307677507,0.00303951367781155,0.02319236016371078,1
7C,62,629,1,4675,63,0.9841269841269841,0.8814102564102564,0.08972503617945007,0.8826159865846842,0.16445623342175067,0.620364920541495,1
7F,73,610,0,4516,73,1,0.8809988294966836,0.10688140556368961,0.8826697441815734,0.19312169312169314,0.6704484062668827,1
8,553,589,0,4144,553,1,0.8755546165222903,0.4842381786339755,0.8885735906167235,0.6525073746312684,0.9410410410410409,1
