nn_serotype,auc,threshold,sensitivity,specificity,k
6C,0.8715588161942633,0.22317893170585434,0.9754689754689755,0.7828873519933375,100
14,0.9455721688470666,0.25220960510089024,0.902127659574468,0.9250832137932955,100
9V,0.8670118996308295,0.14168360157900545,0.8318181818181818,0.7911256503004712,100
23F,0.8753783599476258,0.06951628357461764,0.8852848101265823,0.8111142183692222,100
12F,0.9650410976477317,0.1596157276367431,0.9335863377609108,0.9337879257218319,100
19F,0.836055800359616,0.1282318431621084,0.9799416484318016,0.713895347221579,100
3,0.9971691994950149,0.22469002047787134,0.986013986013986,0.9656039870263429,100
19A,0.9616354106338805,0.22158355011477776,0.9513157894736842,0.8912324879893188,100
35B,0.8699983504238417,0.20780338116756186,0.7724550898203593,0.9001780664082958,100
6B,0.8627032159501904,0.0118440782669128,0.9762504498020871,0.6017106220568651,100
6A,0.7836100464761283,0.22376564923276754,0.6125603864734299,0.8335782205202774,100
17F,0.9058537361074126,0.1478374129202683,0.9880952380952381,0.8136222586381228,100
22F,0.9667575583014616,0.11626704956781475,0.8857142857142857,0.9398150430350294,100
10A,0.9564606238006254,0.24978733062291225,0.9212690951821386,0.9103308717247904,100
4,0.7382186473097546,0.17327262828749607,0.8070444104134763,0.6677594814097311,100
28F,0.5114295462299567,0.5055587051881641,0.4523809523809524,0.7963152507676561,100
13,0.9643349598277821,0.3508694007824027,0.9710982658959537,0.9018528014982944,100
23B,0.8790855135463784,0.11964361071405971,0.9576719576719577,0.790658069212969,100
10B,0.7873381450544295,0.43963689684223256,0.8181818181818182,0.7547824363167807,100
16F,0.8879163960495253,0.3209571785791866,0.7166666666666667,0.8953247574647801,100
34,0.8270394623301389,0.2432144083249091,0.9795158286778398,0.7403727438414957,100
35A,0.5336731283422591,0.46242089112099816,0.5882352941176471,0.6306818181818182,100
15B,0.7950558772048002,0.0719606766004911,1,0.4867106503298775,100
15A,0.9512986741519439,0.22286813233959002,0.9609375,0.8347539417104635,100
21,0.8683030281232201,0.2853796210358928,0.9112318840579711,0.729974402197665,100
29,0.6978844033807549,0.555087960255334,0.9534883720930233,0.5349887133182845,100
7F,0.9693322166108342,0.16934404455363872,0.9536423841059603,0.8893579365770157,100
15C,0.7916666666666724,0.18017409552399544,0.875,0.742948717948718,100
33F,0.9114630062041399,0.0290518177063393,0.9541984732824428,0.727922007386487,100
35F,0.9643134374049739,0.19014031859311203,1,0.8671043232763019,100
11A,0.8162022787108149,0.1501741542294584,0.782051282051282,0.7812751523513856,100
11E,0.9829135366033293,0.3255143812567734,0.967741935483871,0.9269406392694064,100
9N,0.9215106289615422,0.008126242877226734,1,0.7999722886140843,100
11,0.8959183673469387,0.3335765186492593,1,0.8775510204081632,100
31,0.9533377107728473,0.3569739620264444,0.9615384615384616,0.8748729760856311,100
7C,0.7962642083212614,0.05946898219993241,0.959349593495935,0.6218673484084689,100
8,0.9955456954401112,0.1745992509983188,1,0.9729528952054692,100
46,0.7709586466165413,0.5015466750011617,1,0.631578947368421,100
38,0.6782926611694134,0.13047924074939776,0.4657534246575342,0.8854700854700854,100
2,0.6241565452091757,0.5202965126125676,1,0.6032388663967612,100
18C,0.7397555185207609,0.056481030773094576,0.8604651162790697,0.5749782401458946,100
1,0.9417691501154278,0.09410885502205985,1,0.8444625812423485,100
33D,0.497997256515774,0.4738094062578022,1,0.36131687242798355,100
19B,0.5415770609319009,0.5319890873789628,1,0.4064516129032258,100
24F,0.9478655805618502,0.03809492855990937,0.95,0.8906897323927891,100
20B,0.865341855530974,0.2030320119104111,0.9491525423728814,0.7594601865136298,100
33B,0.837248322147653,0.5712423525959129,1,0.674496644295302,100
15B/C,0.6081670629756207,0.41098012553229746,0.2948717948717949,0.9764660984607556,100
5,0.9689693276851269,0.17986796512796926,0.9105504587155964,0.8973512108616306,100
23A,0.9396351529294672,0.0987871930888724,0.984,0.8506662300182164,100
20,0.3269633507853441,0.14035246456824624,1,0.2486910994764398,100
20A,0.4182011378360931,0.14653845229083412,0.930379746835443,0.15825832112204313,100
18A,0.8623949579831832,0.5906262544772863,0.8,0.9604779411764706,100
6E,0.8766732173977527,0.18213518875110873,1,0.8453038674033149,100
6D,0.49610389610389616,0.33612816198174367,1,0.2792207792207792,100
18B,0.9997232599972325,0.46028094090217375,1,0.98989898989899,100
9L,0.5944605328164664,0.2851033609793203,0.9977324263038548,0.43329608938547487,100
22A,0.2672853828306263,0.4646206149573924,0.8,0.2668213457076566,100
24,0.7268247562181553,6.3539550522817e-4,1,0.6436716077537058,100
27,0.36235955056179775,0.5970819737076244,0.5,0.7078651685393258,100
28A,0.8303495311167945,0.49934853893057274,1,0.8303495311167945,100
37,0.8989361702127661,0.4154377720810562,1,0.8085106382978723,100
33,1,0.48900833187166504,1,1,100
10F,0.39839572192513395,0.5130758755640359,0.8181818181818182,0.28921568627450983,100
35D,1,0.5485101548429118,1,1,100
45,0.1111111111111111,0.46468450054405924,1,0.1111111111111111,100
25F,0.984013605442177,0.45271253546817364,0.9333333333333333,0.9693877551020408,100
48,0.02666666666666667,0.4524616687966343,1,0.02666666666666667,100
7B,0.936405529953917,0.5252369823013014,1,0.9354838709677419,100
