Serotype,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1,weighted_f1,k
1,107,886,0,3733,107,1,0.8081835895215415,0.10775427995971802,0.8125264494286923,0.19454545454545455,0.6724584103512014,100
10A,67,891,0,3751,67,1,0.8080568720379147,0.06993736951983298,0.8107878530473561,0.13073170731707318,0.5610837438423645,100
10B,6,846,0,3945,6,1,0.823418910457107,0.007042253521126761,0.8236397748592871,0.013986013986013986,0.10759493670886076,100
10C,0,771,0,4062,0,0,0.840471756672874,0,0.840471756672874,0,0,100
10F,4,829,1,4039,5,0.8,0.8297041906327034,0.004801920768307323,0.8296737122922224,0.009546539379474939,0.07447973713033954,100
10X,0,971,0,3856,0,0,0.798839859125751,0,0.798839859125751,0,0,100
11,1,877,3,3962,4,0.25,0.8187642074808845,0.0011389521640091116,0.8182944455915755,0.0022675736961451248,0.018046709129511677,100
11A,7,843,0,3851,7,1,0.8204090328078398,0.00823529411764706,0.8206764518187619,0.01633605600933489,0.12370062370062371,100
11B,1,902,0,3945,1,1,0.8139055085619971,0.0011074197120708748,0.8139438943894389,0.0022123893805309734,0.018498367791077257,100
11C,0,889,0,3952,0,0,0.8163602561454245,0,0.8163602561454245,0,0,100
11D,0,816,0,4022,0,0,0.8313352625051674,0,0.8313352625051674,0,0,100
11E,1,864,1,3762,2,0.5,0.8132295719844358,0.0011560693641618498,0.8130942091616249,0.002306805074971165,0.0189520624303233,100
12A,0,879,0,3879,0,0,0.8152585119798235,0,0.8152585119798235,0,0,100
12B,0,953,3,3910,3,0,0.8040304338885461,0,0.803534730785039,0,0,100
12F,38,854,0,3726,38,1,0.8135371179039301,0.042600896860986545,0.8150714595062798,0.08172043010752687,0.43066666666666664,100
13,20,780,0,4063,20,1,0.8389428040470782,0.025,0.8396051819864281,0.04878048780487806,0.3035714285714286,100
14,135,747,8,3674,143,0.9440559440559441,0.831033702782176,0.15306122448979592,0.8345749342681859,0.2634146341463415,0.7239747634069401,100
15A,28,777,5,3827,33,0.8484848484848485,0.83123370981755,0.034782608695652174,0.831356480483071,0.06682577565632458,0.3570892723180796,100
15B,8,782,15,3981,23,0.34782608695652173,0.8358177619147596,0.010126582278481013,0.8334726284997911,0.01968019680196802,0.11744386873920554,100
15B-C,0,855,0,3963,0,0,0.8225404732254047,0,0.8225404732254047,0,0,100
15C,3,846,9,3934,12,0.25,0.8230125523012553,0.0035335689045936395,0.8215776293823038,0.0069686411149825775,0.04899135446685878,100
15F,0,848,3,3891,3,0,0.8210592952099599,0,0.8205398566005905,0,0,100
16F,28,817,11,3903,39,0.717948717948718,0.826906779661017,0.033136094674556214,0.8260138684597604,0.06334841628959276,0.32402995234853643,100
17A,0,861,0,4071,0,0,0.8254257907542579,0,0.8254257907542579,0,0,100
17F,41,783,0,3784,41,1,0.8285526603897526,0.04975728155339806,0.830078125,0.09479768786127168,0.4709459459459459,100
18A,2,826,5,3880,7,0.2857142857142857,0.8244793880152996,0.0024154589371980675,0.8236791852323361,0.004790419161676646,0.036170212765957444,100
18B,1,876,0,3843,1,1,0.8143674507310871,0.0011402508551881414,0.8144067796610169,0.0022779043280182236,0.019036954087346025,100
18C,14,826,0,3815,14,1,0.8220211161387632,0.016666666666666666,0.8225563909774436,0.03278688524590164,0.2236842105263158,100
18F,2,854,0,3918,2,1,0.8210393964794636,0.002336448598130841,0.8211143695014663,0.004662004662004662,0.038288288288288286,100
19A,235,772,3,3715,238,0.9873949579831933,0.8279474036104302,0.2333664349553128,0.8359788359788359,0.37751004016064255,0.8296988577362409,100
19B,3,866,1,3812,4,0.75,0.814878153056862,0.0034522439585730723,0.8148227253310552,0.006872852233676976,0.05466237942122186,100
19F,99,828,4,3655,103,0.9611650485436893,0.8153022529556101,0.10679611650485436,0.8185782817269952,0.19223300970873786,0.6535922330097087,100
2,3,913,0,3938,3,1,0.8117913832199547,0.0032751091703056767,0.8119077049855788,0.006528835690968444,0.0529045643153527,100
20,3,860,1,3949,4,0.75,0.8211686421293408,0.0034762456546929316,0.8211094951173904,0.006920415224913495,0.055016181229773455,100
20A,6,855,0,3912,6,1,0.8206419131529263,0.006968641114982578,0.8208673790069139,0.01384083044982699,0.10658307210031348,100
20B,21,821,1,4030,22,0.9545454545454546,0.8307565450422594,0.02494061757719715,0.8313154114508516,0.04861111111111111,0.2989949748743718,100
20C,0,928,0,3862,0,0,0.8062630480167015,0,0.8062630480167015,0,0,100
21,28,828,0,4023,28,1,0.8293135435992579,0.03271028037383177,0.8302930928468949,0.06334841628959276,0.36503067484662566,100
22A,1,810,0,3959,1,1,0.8301530719228349,0.0012330456226880395,0.8301886792452831,0.0024630541871921183,0.020556227327690448,100
22F,161,868,0,3687,161,1,0.8094401756311745,0.1564625850340136,0.8159457167090755,0.2705882352941177,0.7592233009708738,100
23A,45,823,9,3898,54,0.8333333333333334,0.82567252700699,0.05184331797235023,0.825759162303665,0.09761388286334056,0.4416859122401847,100
23B,64,784,14,3805,78,0.8205128205128205,0.829156679015036,0.07547169811320754,0.8290122134133276,0.13822894168466524,0.5190839694656488,100
23F,91,832,13,3825,104,0.875,0.8213442130126691,0.09859154929577464,0.8225162780928377,0.17721518987341772,0.5979899497487438,100
24,0,915,0,3876,0,0,0.8090169067000627,0,0.8090169067000627,0,0,100
24A,0,888,2,3828,2,0,0.811704834605598,0,0.811360746078847,0,0,100
24F,12,857,45,3853,57,0.21052631578947367,0.8180467091295117,0.01380897583429229,0.8107824627648417,0.025917926565874726,0.11454239191465466,100
25A,0,927,0,3930,0,0,0.8091414453366276,0,0.8091414453366276,0,0,100
25F,3,861,6,3938,9,0.3333333333333333,0.8205876224213378,0.003472222222222222,0.8196755407653911,0.006872852233676976,0.050595238095238096,100
27,1,983,0,3796,1,1,0.7943084327265119,0.0010162601626016261,0.7943514644351465,0.0020304568527918783,0.016999999999999998,100
28A,5,826,0,3990,5,1,0.8284883720930233,0.006016847172081829,0.8286662518149761,0.011961722488038277,0.0933040614709111,100
28F,0,856,0,3858,0,0,0.8184132371658889,0,0.8184132371658889,0,0,100
29,4,891,0,3985,4,1,0.8172682526661198,0.004469273743016759,0.8174180327868853,0.008898776418242492,0.07090719499478623,100
3,36,856,0,3635,36,1,0.809396570919617,0.04035874439461883,0.8109123039540534,0.07758620689655173,0.41689373297002724,100
31,16,961,6,3793,22,0.7272727272727273,0.7978544383676903,0.016376663254861822,0.7975293132328308,0.03203203203203203,0.20466516177577124,100
32,0,800,0,3815,0,0,0.8266522210184182,0,0.8266522210184182,0,0,100
32F,0,830,0,3990,0,0,0.8278008298755186,0,0.8278008298755186,0,0,100
33,0,811,0,3919,0,0,0.8285412262156449,0,0.8285412262156449,0,0,100
33A,0,886,0,3901,0,0,0.8149153958637978,0,0.8149153958637978,0,0,100
33A-33F,0,806,0,4037,0,0,0.8335742308486476,0,0.8335742308486476,0,0,100
