nn_serotype,auc,threshold,sensitivity,specificity,k
6C,0.866619989946985,0.39169332617283775,0.988599348534202,0.7269937378177747,500
14,0.9371821433870839,0.28202864392838356,0.9045751633986928,0.891858884095226,500
23F,0.7804401582845768,0.18598835877399744,0.8242245199409158,0.753873437363925,500
12F,0.9686365355607661,0.2117640749325781,0.9486486486486486,0.9225396028377985,500
6A,0.8042419750068774,0.3411242421939238,0.6518218623481782,0.8905566262328534,500
6B,0.7090511082071922,0.38827529174901826,0.39958049292081804,0.9638228596965376,500
3,0.9963600536582966,0.3215079887926087,0.9732620320855615,0.9781069984874118,500
19A,0.9536867971953419,0.2571950305604375,0.9381688466111772,0.850169196740836,500
18C,0.8626336266790036,0.4362535223658202,0.776,0.8080824455766559,500
35B,0.9133443978698164,0.2299227993196491,0.8220858895705522,0.8587679243771529,500
19F,0.7553553376556085,0.2030283035900063,0.9660107334525939,0.5464274014486951,500
9V,0.8734327341774548,0.3608962518313933,0.9186046511627907,0.7051957336912908,500
17F,0.9188359315432022,0.36063305214840186,0.9623931623931624,0.7482898921521596,500
22F,0.969880541257424,0.2026558368212717,0.9719626168224299,0.8853557713475039,500
10A,0.9346358989291828,0.32232964064674363,0.9516358463726885,0.8586261207753698,500
21,0.5677581406609267,0.6228304493843924,0.5454545454545454,0.8813249001331558,500
4,0.7041956345079546,0.3765435820229585,0.6412478336221837,0.7384378716300992,500
23A,0.9524693993454494,0.38863793183798534,0.8511777301927195,0.9451186790505676,500
15B/C,0.6283806073471161,0.04752894844550587,1,0.31722762988155273,500
13,0.9291034868999422,0.5189525520041653,0.8980891719745223,0.8681636282792352,500
23B,0.8197054557739557,0.1997373835099497,0.969060773480663,0.6987424822307272,500
16F,0.8437432534563525,0.40948244158681213,0.7603092783505154,0.8818084985366963,500
15A,0.9264684694973302,0.24460741256982738,0.9655963302752294,0.7467704162574601,500
34,0.8543904492587163,0.44385218026921996,0.9775641025641025,0.7917809366298909,500
15B,0.8533232385256192,0.28303500375500895,0.8837209302325582,0.7938990002563445,500
10B,0.8878357030015798,0.6391891258120475,1,0.7772511848341233,500
24F,0.9525344446334751,0.1399357283616608,0.9333333333333333,0.9457107217780801,500
7F,0.9477762240473363,0.4260288665342895,0.8,0.9367154423234049,500
15C,0.6911810052420589,0.207790625903212,0.7916666666666666,0.6234967622571693,500
35F,0.4315702087286545,0.5228633463499051,1,0.286527514231499,500
33F,0.7998003773860799,0.4290985193900848,0.7253521126760564,0.9271397812170344,500
11A,0.8427807521114183,0.25742640450018667,0.8125,0.806879983492756,500
9N,0.8851564978140604,0.13886307609886483,0.80859375,0.9016191093519426,500
11E,0.9846153846153847,0.3740210283661225,1,0.9692307692307692,500
7C,0.6837940143795312,0.321492566771192,0.9504950495049505,0.5032051282051282,500
8,0.9923058228934137,0.2094405582962484,0.9959016393442623,0.9714240365691067,500
46,0.7325126796280652,0.5942696336107158,0.945054945054945,0.7692307692307693,500
38,0.7290559570065966,0.17335009620861352,0.873015873015873,0.5642598743362457,500
31,0.41802413273001504,0.5524827173380736,0.9,0.19457013574660634,500
1,0.8641563862798619,0.1993194952513459,0.9787234042553191,0.6855537928901394,500
5,0.9580601867430988,0.41575138677894247,0.780373831775701,0.9763321982095859,500
20A,0.8857231920199524,0.6518999883006578,0.75,0.97905236907730675,500
20B,0.6709733193743829,0.49179329704637875,1,0.39722724532851117,500
6D,0.6979166666666667,0.49368642878273195,1,0.6875,500
20,0.7,0.5608521912403847,1,0.6615384615384615,500
18A,0.5774058577405856,0.5818876126642643,1,0.5439330543933054,500
18B,0.9636363636363636,0.5505071968583231,1,0.9636363636363636,500
28F,0.5917602996254682,0.5555200573779502,1,0.5842696629213483,500
24A,0,-Inf,1,0,500
24A,0,Inf,0,1,500
19B,0.6,0.6497122785760954,1,0.6,500
24,0.9023996308260299,0.42434421879868905,0.9090909090909091,0.8908629441624365,500
9L,0.9893617021276596,0.6869084029080639,1,0.9893617021276596,500
6E,0.9886792452830189,0.3862840985181172,1,0.9886792452830189,500
10F,0.225,0.5164729476455463,1,0.1,500
29,0.7692307692307693,0.626930116605073,1,0.7692307692307693,500
35D,1,0.5643470225041123,1,1,500
11B,1,0.6181619307215191,1,1,500
48,0.375,0.635308146871204,1,0.375,500
