nn_serotype,auc,threshold,sensitivity,specificity,k
6C,0.9639344375555936,0.13547703745381123,0.9786628733997155,0.935517778824894,5
45,0.6223789981659515,0.08103442678208872,0.9968652037617555,0.42738589211618255,5
19F,0.9571267366898312,0.05293513417484863,0.9761747187293184,0.9277880540718999,5
14,0.9510846996130534,0.03527419122195835,0.8390177353342428,0.925967041897944,5
23F,0.9673233361395414,0.002174662468841345,0.9851362510322048,0.8559030815979127,5
12F,0.9870867546033988,0.022995513618735915,0.9611801242236024,0.9634228696082805,5
9V,0.929804217694643,0.08125466741328585,0.777292576419214,0.9447159739143908,5
3,0.9995187538256942,0.08127136164120041,1,0.9916309601705469,5
16F,0.9622507392368169,0.051850888920698335,0.997093023255814,0.877754015010895,5
18C,0.9396825889073462,0.06271534179225335,0.7971014492753623,0.9274913389036071,5
35B,0.9361943676950483,0.03182580724368549,0.8195876288659794,0.926270144327228,5
19A,0.9800942904451532,0.01656782935720957,0.9712230215827338,0.9075047682860439,5
20A,0.6675368146200422,0.00114764844592063,0.9615384615384616,0.42269385819302824,5
38,0.8676372676454891,7.790024042170218e-5,1,0.6252654146653198,5
6A,0.91083062435948,0.003933975133102395,0.9533898305084746,0.7549185990628379,5
6B,0.8822725387166365,0.002719008997212835,0.9229152067274001,0.8275823525544086,5
17F,0.9763192563900565,0.12069990983370098,0.9845559845559846,0.9498479192589521,5
18A,0.9852204585537339,0.3512044916600076,0.9722222222222222,0.9777777777777777,5
46,0.7054465861003129,0.05792654282379567,0.6943820224719102,0.7402597402597403,5
5,0.9957605786242733,0.06007096516150151,0.9974025974025974,0.9776682379180762,5
10A,0.9865733853152054,0.09404379139157693,0.9831387808041504,0.9511707269999737,5
22F,0.9832227657973017,0.011917695243486126,0.9907407407407407,0.9525967116328562,5
4,0.9328133868767606,0.020481116234145558,0.9811912225705329,0.820012035091794,5
10B,0.9449140266123026,0.09624574778642259,0.9772727272727273,0.8815850099831055,5
15B/C,0.7216693156967129,2.067527608562436e-5,0.9925742574257426,0.3818732525629077,5
13,0.9725034610531943,0.1278675935904131,0.927710843373494,0.9492352607956773,5
28F,0.8291450236966765,0.018987794386576544,1,0.6578199052132702,5
35A,0.9678611561992716,0.1036173165122356,0.9833333333333333,0.9580471969034836,5
23B,0.9738202788113375,0.05279446120113712,0.9978260869565218,0.9441749782187487,5
15A,0.9454314394857543,0.08523953859599026,0.8369565217391305,0.9445511104547049,5
31,0.9675041195458232,0.13204951339594212,0.9777777777777777,0.9344145730344687,5
34,0.963694471768957,0.13640394306124043,0.9956085319949812,0.9447139075151211,5
24,0.7006753338933216,1.0994575071475999e-4,0.9750445632798574,0.6076276664511958,5
15B,0.833513390122795,7.716673078306258e-5,1,0.6378485398449101,5
19B,0.9239421911421836,0.18196399631988452,0.9743589743589743,0.8798545454545454,5
24F,0.982283045531931,0.03712857452372087,0.9836065573770492,0.9706008421371121,5
37,0.8048127681397785,0.004259412990770035,1,0.7044206120847502,5
25F,0.7481742426434357,0.004219583600855555,0.9953271028037384,0.6071207430340557,5
33B,0.9033916269210254,0.05788225672574876,0.9841269841269841,0.8101748807631161,5
7F,0.9882975115290656,0.0655207159188842,0.9789473684210527,0.9530689604898673,5
48,0.8747733950115654,0.26580846554744564,0.9705882352941176,0.7986184909670563,5
35F,0.9809009501927498,0.06261802993212284,1,0.9375577061177034,5
11E,0.9150710632252377,0.01014537160680817,0.7138263665594855,0.9674502712477396,5
11A,0.8710228197048531,0.07796386957459339,0.6802030456852792,0.9133131882499927,5
11,0.7516233766233765,5.476832894779626e-5,1,0.6428571428571429,5
21,0.9638212422602747,0.12352389416757908,0.921875,0.9260201842913559,5
33F,0.9678236192334027,0.0032822849655135752,1,0.8381278757014322,5
11D,0.5,0.15062722606601187,1,0.5,5
9N,0.9760295687492869,0.0034774637693429852,0.9922779922779923,0.9172403772305521,5
11C,0.8486486486486488,0.19786944056421207,0.8,0.8378378378378378,5
7C,0.9365474629504867,0.011683466585706955,0.9789473684210527,0.8779511877172653,5
8,0.9921037638582686,0.053419949907549,0.9661016949152542,0.9900138790156054,5
11B,0.8522941405591996,0.06506799679251957,0.96875,0.7316826680141486,5
12B,0.6768316596893518,0.00187962615355652,0.9642857142857143,0.5624082232011748,5
12A,0.5,0.009217777131347856,1,0.5,5
28A,0.9239248384544793,0.00395576164308225,1,0.7238744320528707,5
1,0.9884833014247931,0.041607450892594045,1,0.9756585727728515,5
33D,0.9069544970489102,0.13159105247679803,0.9558823529411765,0.8281681497391838,5
29,0.9439031971104975,0.11353669263033372,1,0.8428989421562008,5
20B,0.9241897446500004,8.61310990803885e-4,0.9090909090909091,0.7940099448791581,5
23A,0.9779799981392202,0.004957514972900305,0.999198717948718,0.8771249627199523,5
15C,0.8505217486819091,0.00106902786226942,0.90625,0.671353251318102,5
15F,0.6608716153087089,0.00615713480686103,1,0.41041537507749537,5
6D,0.8780982602380688,0.039089528065316514,0.9705882352941176,0.7611379495437467,5
18F,0.861518340170023,0.18017164571043198,1,0.7308721241305511,5
18B,0.8378430527883932,0.0252057160576995,0.9234828496042217,0.75,5
20,0.823512682415261,3.7365043954672996e-4,0.9649122807017544,0.6352583586626139,5
9L,0.5776224807337484,0.001083421821767455,0.9947698744769874,0.43963454426800086,5
17A,0.94461743772242035,0.1546713082350909,1,0.8576512455516014,5
22A,0.9741580542990902,0.1567947738604406,0.9767441860465116,0.9539775093710954,5
35C,0.8658279152241858,0.06203594275184371,0.9230769230769231,0.8166849615806806,5
2,0.9882988298829856,0.30401227169478845,1,0.9777549183489778,5
27,0.9427096039684444,0.10430731199396936,1,0.8743595999024152,5
24A,0.8018280824581862,0.2870707659594944,0.7777777777777778,0.9054842473745625,5
36,0.9725829725829725,0.2369165272996162,1,0.9725829725829725,5
6E,0.626415711947626,2.2135783240340157e-5,0.9230769230769231,0.41843971631205673,5
10F,0.9463619335782828,0.21271476055043703,0.95,0.8727036956991571,5
33C,0,-Inf,1,0,5
33C,0,Inf,0,1,5
39,0.9977212506624269,0.29190152378466133,1,0.9971383147853736,5
33,0.8963182212733424,5.463958775875355e-5,0.990990990990991,0.765409934171155,5
35D,0.6011089409164494,0.04111452384037123,0.4101796407185629,0.8984263233190272,5
25A,1,6.670285736644605e-4,1,1,5
7B,0.9832365492806246,0.014541068414886945,0.9939393939393939,0.9549869256630557,5
40,0.9764691485992338,0.028119277141898984,0.9852941176470589,0.9765051395007343,5
35B/35D,0.6666666666666666,0.2571413962969761,1,0.6666666666666666,5
