SPC16F_0001,dexB
SPC16F_0002,aliB
SPC16F_0003,tnp
SPC16F_0004,wzg
SPC16F_0005,wzh
SPC16F_0006,wzd
SPC16F_0007,wze
SPC16F_0008,wchA
SPC16F_0009,wchF
SPC16F_0010,wciU
SPC16F_0011,wcxM
SPC16F_0012,wcxN
SPC16F_0013,HG191
SPC16F_0014,wzy
SPC16F_0015,wcxP
SPC16F_0016,wzx
SPC16F_0017,wcxQ
SPC16F_0018,gct
SPC16F_0019,rmlA
SPC16F_0020,rmlC
SPC16F_0021,rmlB
SPC16F_0022,rmlD
SPC16F_0023,tnp
SPC16F_0024,aliA
SPC23F_0001,dexB
SPC23F_0002,tnp
SPC23F_0003,wzg
SPC23F_0004,wzh
SPC23F_0005,wzd
SPC23F_0006,wze
SPC23F_0007,wchA
SPC23F_0008,wchF
SPC23F_0009,wzy
SPC23F_0010,wchV
SPC23F_0011,wchW
SPC23F_0012,wzx
SPC23F_0013,wchX
SPC23F_0014,gtp1
SPC23F_0015,gtp2
SPC23F_0016,gtp3
SPC23F_0017,rmlA
SPC23F_0018,rmlC
SPC23F_0019,rmlB
SPC23F_0020,rmlD
SPC23F_0021,tnp
SPC23F_0022,aliA
